"test_code","parameter_name","review_category","proposed_range_or_cutoff","proposed_critical_panic","action_needed","current_decision"
"BIO-0042","Ionized Calcium (Ca2+)","CRITICAL_PANIC_VALUE_GOVERNANCE","1.15 - 1.33 mmol/L | <1.15: Hypocalcemia; >1.33: Hypercalcemia","Low: 0.80 | High: 1.60","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0042","Ionized Calcium (Ca2+)","CRITICAL_PANIC_VALUE_GOVERNANCE","4.60 - 5.30 mg/dL | <4.60: Hypocalcemia; >5.30: Hypercalcemia","Low: 3.20 | High: 6.40","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0041","Total Calcium","CRITICAL_PANIC_VALUE_GOVERNANCE","8.6 - 10.2 mg/dL | <8.6: Hypocalcemia; >10.2: Hypercalcemia","Low: 6.5 | High: 13.0","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0043","Phosphorus (Inorganic Phosphate)","CRITICAL_PANIC_VALUE_GOVERNANCE","2.5 - 4.5 mg/dL | <2.5: Hypophosphatemia; >4.5: Hyperphosphatemia","Low: 1.0 | High: 8.0","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0044","Magnesium (Mg)","CRITICAL_PANIC_VALUE_GOVERNANCE","1.7 - 2.4 mg/dL | <1.7: Hypomagnesemia; >2.4: Hypermagnesemia","Low: 1.0 | High: 4.5","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0045","Serum Iron","GENERAL_CLINICAL_VALIDATION","65 - 175 µg/dL | <65: Iron deficiency; >175: Iron overload/hemochromatosis","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0045","Serum Iron","GENERAL_CLINICAL_VALIDATION","50 - 170 µg/dL | <50: Iron deficiency; >170: Iron overload","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0046","Total Iron Binding Capacity (TIBC)","GENERAL_CLINICAL_VALIDATION","250 - 425 µg/dL | >425: Elevated in iron deficiency; <250: Low in chronic illness/malnutrition","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0047","Unsaturated Iron Binding Capacity (UIBC)","GENERAL_CLINICAL_VALIDATION","120 - 370 µg/dL | Calculated: TIBC - Serum Iron","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0048","Transferrin","GENERAL_CLINICAL_VALIDATION","200 - 360 mg/dL | <200: Negative acute-phase reactant; >360: Increased in iron deficiency","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"BIO-0049","Transferrin Saturation (TSAT)","GENERAL_CLINICAL_VALIDATION","20 - 50 % | <20%: Absolute/functional iron deficiency; >50%: Hemochromatosis/overload risk","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"END-0013","Cortisol, Morning (8 AM)","ASSAY_PACKAGE_INSERT_VERIFICATION","6.0 - 18.4 µg/dL | <3.0: Adrenal insufficiency suspicion; >18.4: Hypercortisolemia screening","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0014","Cortisol, Evening (4 PM)","ASSAY_PACKAGE_INSERT_VERIFICATION","2.7 - 10.5 µg/dL | Normal diurnal rhythm requires evening value to be approximately 50% of morning level","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0015","Adrenocorticotropic Hormone (ACTH)","ASSAY_PACKAGE_INSERT_VERIFICATION","7.2 - 63.3 pg/mL | <5.0 pg/mL in secondary adrenal insufficiency or autonomous Cushing's","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0011","Parathyroid Hormone (PTH, Intact)","ASSAY_PACKAGE_INSERT_VERIFICATION","15.0 - 65.0 pg/mL | Primary hyperparathyroidism: elevated PTH with hypercalcemia; Secondary: elevated PTH with low/normal Ca","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0025","Prolactin","ASSAY_PACKAGE_INSERT_VERIFICATION","4.0 - 15.2 ng/mL | >200: Strongly indicative of prolactinoma; 25–100: Non-adenoma hyperprolactinemia","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0025","Prolactin","ASSAY_PACKAGE_INSERT_VERIFICATION","4.8 - 23.3 ng/mL | Postmenopausal: 3.0–18.0 ng/mL","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"END-0039","Beta-hCG, Quantitative","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 5.0 mIU/mL | <5.0: Negative; 5–25: Equivocal (repeat in 48h); >25: Positive for pregnancy","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0001","Lithium","ASSAY_PACKAGE_INSERT_VERIFICATION","0.60 - 1.20 mmol/L | Acute Mania: 0.8–1.2; Maintenance: 0.6–0.8","Low: 0.40 | High: 1.50","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0002","Valproic Acid (Sodium Valproate)","ASSAY_PACKAGE_INSERT_VERIFICATION","50.0 - 100.0 µg/mL | Therapeutic range: 50–100 µg/mL; Toxicity commonly manifests >125 µg/mL","Low: — | High: 150.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0003","Carbamazepine","ASSAY_PACKAGE_INSERT_VERIFICATION","4.0 - 12.0 µg/mL | Therapeutic range: 4–12 µg/mL; Toxic signs (ataxia, nystagmus) common >15 µg/mL","Low: — | High: 15.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0004","Phenytoin","ASSAY_PACKAGE_INSERT_VERIFICATION","10.0 - 20.0 µg/mL | Therapeutic range: 10–20 µg/mL; Nystagmus >20; Ataxia >30; Encephalopathy >40","Low: — | High: 25.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0005","Vancomycin (Trough)","ASSAY_PACKAGE_INSERT_VERIFICATION","10.0 - 20.0 µg/mL | Standard infections: 10–15; Severe (MRSA pneumonia, endocarditis, sepsis): 15–20","Low: — | High: 25.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0006","Digoxin","ASSAY_PACKAGE_INSERT_VERIFICATION","0.8 - 2.0 ng/mL | Heart Failure: 0.5–0.9 ng/mL; Atrial Fibrillation: 0.8–1.5 ng/mL","Low: — | High: 2.5","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0007","Theophylline","ASSAY_PACKAGE_INSERT_VERIFICATION","10.0 - 20.0 µg/mL | Bronchodilation: 10–20 µg/mL (optimal 5–15 µg/mL in modern protocols)","Low: — | High: 25.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0008","Methotrexate (MTX)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.00 - 0.05 µmol/L | 24h post: <5.0; 48h post: <0.5; 72h post: <0.1 µmol/L (Leucovorin rescue threshold)","Low: — | High: 10.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
