"test_code","parameter_name","method","specimen","unit","age_gender_strata","reference_low","reference_high","clinical_cutoff","qualitative_options","critical_low","critical_high","source_text","clinical_note","semantic_type","candidate_status"
"BIO-0042","Ionized Calcium (Ca2+)","Direct Ion-Selective Electrode (ISE), pH adjusted to 7.40","Whole Blood (Heparinized) / Serum (Anaerobic)","mmol/L","Adult (All)","1.15","1.33","<1.15: Hypocalcemia; >1.33: Hypercalcemia","","0.80","1.60","Tietz 7th Ed.; CLSI EP28-A3c","Collect anaerobically on ice; exposure to air and pH changes directly alter ionized fraction.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0042","Ionized Calcium (Ca2+)","Direct ISE","Serum","mg/dL","Adult (All)","4.60","5.30","<4.60: Hypocalcemia; >5.30: Hypercalcemia","","3.20","6.40","Tietz 7th Ed.","Conventional unit equivalent (1 mmol/L = 4.0 mg/dL).","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0041","Total Calcium","Arsenazo III / CPC Photometric","Serum","mg/dL","Adult (18–60y)","8.6","10.2","<8.6: Hypocalcemia; >10.2: Hypercalcemia","","6.5","13.0","Tietz 7th Ed.; CLSI","Serum albumin must be evaluated concurrently for albumin-corrected calcium.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0043","Phosphorus (Inorganic Phosphate)","Phosphomolybdate UV","Serum","mg/dL","Adult (All)","2.5","4.5","<2.5: Hypophosphatemia; >4.5: Hyperphosphatemia","","1.0","8.0","Tietz 7th Ed.","Fasting morning sample preferred due to diurnal fluctuation.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0044","Magnesium (Mg)","Xylidyl Blue / Calmagite Colorimetric","Serum","mg/dL","Adult (All)","1.7","2.4","<1.7: Hypomagnesemia; >2.4: Hypermagnesemia","","1.0","4.5","Tietz 7th Ed.","Hemolysis falsely elevates magnesium due to high intracellular erythrocyte concentration.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0045","Serum Iron","Ferrozine / TPTZ Photometric","Serum","µg/dL","Adult Male","65","175","<65: Iron deficiency; >175: Iron overload/hemochromatosis","","","","Tietz 7th Ed.; Henry 24th Ed.","Strong diurnal rhythm (highest in morning); avoid collection during acute inflammation/infection.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0045","Serum Iron","Ferrozine / TPTZ Photometric","Serum","µg/dL","Adult Female","50","170","<50: Iron deficiency; >170: Iron overload","","","","Tietz 7th Ed.","Morning fasting specimen strongly recommended.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0046","Total Iron Binding Capacity (TIBC)","Direct Ferrozine / Iron saturation","Serum","µg/dL","Adult (All)","250","425",">425: Elevated in iron deficiency; <250: Low in chronic illness/malnutrition","","","","Tietz 7th Ed.","Measures maximum amount of iron transferrin can bind.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0047","Unsaturated Iron Binding Capacity (UIBC)","Direct Photometric / Calculated","Serum","µg/dL","Adult (All)","120","370","Calculated: TIBC - Serum Iron","","","","Tietz 7th Ed.","Reserve binding capacity of transferrin.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0048","Transferrin","Immunoturbidimetry","Serum","mg/dL","Adult (All)","200","360","<200: Negative acute-phase reactant; >360: Increased in iron deficiency","","","","IFCC CRM 470; Tietz 7th Ed.","Standardized protein measurement.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0049","Transferrin Saturation (TSAT)","Calculated: (Iron/TIBC)*100","Serum","%","Adult (All)","20","50","<20%: Absolute/functional iron deficiency; >50%: Hemochromatosis/overload risk","","","","KDIGO Anemia Guidelines; Tietz 7th Ed.","TSAT <20% strongly diagnostic of iron-restricted erythropoiesis.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"BIO-0050","Ferritin","CLIA / Immunoturbidimetry","Serum","ng/mL","Adult Male","30","400","<30: Absolute iron deficiency; >400: Overload / acute phase","","","","WHO Guidelines on Ferritin; Tietz 7th Ed.","Positive acute phase reactant; in presence of inflammation, cutoff for deficiency rises to <100 ng/mL.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"BIO-0050","Ferritin","CLIA / Immunoturbidimetry","Serum","ng/mL","Adult Female","15","150","<15: Depleted iron stores; <30: Iron deficiency","","","","WHO Guidelines; Tietz 7th Ed.","Pre-menopausal baseline is lower due to physiological blood loss.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0013","Cortisol, Morning (8 AM)","CLIA / ECLIA","Serum","µg/dL","Adult (8 AM ± 1h)","6.0","18.4","<3.0: Adrenal insufficiency suspicion; >18.4: Hypercortisolemia screening","","","","Endocrine Society Practice Guidelines; Tietz 7th Ed.","Draw strictly between 07:00–09:00 AM; subject should be rested and non-stressed.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0014","Cortisol, Evening (4 PM)","CLIA / ECLIA","Serum","µg/dL","Adult (4 PM ± 1h)","2.7","10.5","Normal diurnal rhythm requires evening value to be approximately 50% of morning level","","","","Endocrine Society; Tietz 7th Ed.","Loss of diurnal rhythm (elevated evening level) is an early marker of Cushing's syndrome.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
