"Source #","Source Name","Source Alias","Source Type","Source Department","Canonical Department","Existing LIS Match","Match Type","Canonical Proposed Identity","Workflow","Conflict","Required Next Action"
"1","Hemoglobin","Hb","Single parameter","Haematology","Hematology","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","AliasExisting","HB — Hemoglobin","RoutineSingleParameter","CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"2","Total Leukocyte Count","TLC","Single parameter","Haematology","Hematology","TLC — Total Leukocyte Count (TLC / WBC) [Active/Routine; clinical=false]","AliasExisting","TLC — Total Leukocyte Count","RoutineSingleParameter","TLC/WBC/TC equivalence and duplicate billable identity; CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"3","Differential Leucocyte Count","DLC","Multi parameter","Haematology","Hematology","DLC — Differential Leukocyte Count (DLC) [Active/Routine; clinical=false]","AliasExisting","DLC — Differential Leukocyte Count","RoutineMultiParameter/Profile","DLC variant/duplicate and reporting-shape conflict; CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"4","Differential Leukocyte Count (Absolute count)","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","Differential Leukocyte Count (Absolute count)","RoutineMultiParameter/Profile","DLC variant/duplicate and reporting-shape conflict","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"5","Erythrocyte sedimentation rate (Westergren)","ESR (Westergren)","Single parameter","Haematology","Hematology","","ConflictRequiresReview","ESR — method-specific Westergren service/configuration","RoutineSingleParameter","Method-specific ESR must not be collapsed into generic ESR without approval","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"6","Erythrocyte Sedimentation Rate (Wintrobe)","ESR (Wintrobe)","Single parameter","Haematology","Hematology","","ConflictRequiresReview","ESR — method-specific Wintrobe service/configuration","RoutineSingleParameter","Method-specific ESR must not be collapsed into generic ESR without approval","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"7","Platelet Count","","Single parameter","Haematology","Hematology","PLT — Platelet Count [Active/Routine; clinical=false]","ExactExisting","PLT — Platelet Count","RoutineSingleParameter","Platelet count versus platelet indices/profile boundary; CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"8","Absolute Eosinophil Count","AEC","Single parameter","Haematology","Hematology","AEC — Absolute Eosinophil Count [Draft/NoClinicalReport; clinical=false]","ExactExisting","AEC — Absolute Eosinophil Count","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"9","Blood Group & Rh.","","Multi parameter","Haematology","Hematology","","MissingDraftCandidate","Blood Group & Rh.","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"10","Bleeding Time","BT","Single parameter","Haematology","Hematology","BT_CT.BLEEDING_TIME — Bleeding Time","ProfileComponentExisting","Bleeding Time","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"11","Clotting Time","CT","Single parameter","Haematology","Hematology","BT_CT.CLOTTING_TIME — Clotting Time","ProfileComponentExisting","Clotting Time","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"12","Peripheral Blood Smear","PBS / GBP","Document","Haematology","Hematology","PBS — Peripheral Blood Smear Examination (PBS) [Active/Routine; clinical=true]","AliasExisting","PBS — Peripheral Blood Smear Examination (PBS)","Document/StructuredNarrativeReview","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
